date,topic,volume1mo,share_pct,event_count
2026-07-08,Business/Economy,2195104278.93792963,11.83827345,48
2026-07-08,Crypto,2401995105.25698185,12.95404285,299
2026-07-08,Culture,884052468.78431714,4.76772560,44
2026-07-08,Geopolitics,1971001597.47191858,10.62967992,134
2026-07-08,Politics,3964094360.29906559,21.37849826,229
2026-07-08,Sports,6914009797.57330513,37.28749445,1218
2026-07-08,Tech & Science,175943081.69877690,0.94886714,21
2026-07-08,Unclassified,36235319.25287500,0.19541833,7
2026-07-09,Business/Economy,2158273413.78140354,11.87708780,48
2026-07-09,Crypto,2424619185.94013166,13.34280206,301
2026-07-09,Culture,886313475.17406011,4.87742790,45
2026-07-09,Geopolitics,1992324194.81825972,10.96386085,137
2026-07-09,Politics,4008398749.14803410,22.05842113,232
2026-07-09,Sports,6492400775.18859863,35.72800996,1209
2026-07-09,Tech & Science,173174043.21284890,0.95298552,21
2026-07-09,Unclassified,36235319.25287500,0.19940480,7
2026-07-10,Business/Economy,2171291587.87964296,11.83771544,48
2026-07-10,Crypto,2402493014.95158625,13.09820791,298
2026-07-10,Culture,879311188.22112119,4.79393725,44
2026-07-10,Geopolitics,1993638069.68608093,10.86916206,137
2026-07-10,Politics,3971580238.86638451,21.65275128,229
2026-07-10,Sports,6712287732.07656193,36.59487862,1216
2026-07-10,Tech & Science,175313403.52727291,0.95579525,21
2026-07-10,Unclassified,36235319.25287500,0.19755219,7
2026-07-11,Business/Economy,2174731593.64977837,11.98348779,49
2026-07-11,Crypto,2398495623.05719042,13.21650133,298
2026-07-11,Culture,891495233.91568327,4.91243254,46
2026-07-11,Geopolitics,2021737430.08100271,11.14043952,140
2026-07-11,Politics,3981790674.57930470,21.94097886,229
2026-07-11,Sports,6461317399.80566406,35.60398826,1209
2026-07-11,Tech & Science,181931613.71541691,1.00250315,22
2026-07-11,Unclassified,36235319.25287500,0.19966855,7
2026-07-12,Business/Economy,2172369069.11994505,11.93279164,48
2026-07-12,Crypto,2390384111.08355427,13.13034508,297
2026-07-12,Culture,886068419.12382710,4.86716091,45
2026-07-12,Geopolitics,1985690652.32366157,10.90736981,134
2026-07-12,Politics,4025918791.82035542,22.11431325,233
2026-07-12,Sports,6529771242.97985649,35.86793827,1214
2026-07-12,Tech & Science,178598863.84211689,0.98104096,22
2026-07-12,Unclassified,36235319.25287500,0.19904008,7
2026-07-13,Business/Economy,2160419676.09691238,12.10631610,48
2026-07-13,Crypto,2419929182.37688828,13.56052620,304
2026-07-13,Culture,879813706.29194200,4.93020081,44
2026-07-13,Geopolitics,1939048650.34043646,10.86582211,130
2026-07-13,Politics,3928627851.65250015,22.01480163,230
2026-07-13,Sports,6306060709.43778038,35.33719171,1216
2026-07-13,Tech & Science,177960723.43633991,0.99723623,22
2026-07-13,Unclassified,33532423.89534000,0.18790521,6
2026-07-14,Business/Economy,2173967215.69673014,12.27739251,47
2026-07-14,Crypto,2410328442.22206450,13.61223304,300
2026-07-14,Culture,885937739.96049011,5.00329779,45
2026-07-14,Geopolitics,1989039262.08031178,11.23301932,135
